tract_geoid,tract_name,county_geoid,county_name,county_full_name,acs_unemp_total,acs_pov_total,school_total,broadband_total,health_ins_total,white_alone_total,acs_unemp_rate,acs_pov_rate,broadband_rate,health_ins_pct,white_alone_pct,school_age,depend_ratio,acs_unemp_score,acs_pov_score,acs_school_score,acs_broadband_score,acs_health_score,depend_score,white_alone_score
37081011905,"Census Tract 119.05, Guilford County, North Carolina",37081,Guilford,Guilford County,184,1195,886,829,749,1238,0.05,0.25,0.48,0.16,0.26,0.2,0.54,0.45899173908354585,0.7966274285289947,0.37334043699453995,0.9038266003259251,0.7943877442305134,1.193344326798538,1.7299152132303928
37063002300,"Census Tract 23, Durham County, North Carolina",37063,Durham,Durham County,24,256,309,181,162,405,0.02,0.24,0.47,0.15,0.25,0.21,0.41,-0.7711509560182648,0.706139061440341,0.5511023153466037,0.9602900391839455,0.6293601937302316,0.08851059767890235,1.7708417479689218
37067000700,"Census Tract 7, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,71,910,287,349,279,464,0.05,0.46,0.36,0.14,0.24,0.16,0.45,0.45899173908354585,2.6968831373907216,-0.3377070764137164,1.5813878666221701,0.4643326432299501,0.4284594374080211,1.8117682827074506
37067001902,"Census Tract 19.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,40,592,283,593,362,1380,0.02,0.3,0.68,0.19,0.71,0.15,0.3,-0.7711509560182648,1.249069263972263,-0.5154689547657806,-0.22544217683448375,1.2894703957313585,-0.8463487115761734,-0.111778850003408
37067003106,"Census Tract 31.06, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,89,230,364,863,65,2600,0.04,0.08,0.76,0.02,0.94,0.14,0.3,0.048944174049608914,-0.7416748119781175,-0.6932308331178443,-0.6771496876986469,-1.5159979627734306,-0.8463487115761734,-1.0530891489895728
37067003908,"Census Tract 39.08, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,54,161,572,990,35,2729,0.02,0.05,0.83,0.01,0.92,0.2,0.44,-0.7711509560182648,-1.0131399132440784,0.37334043699453995,-1.0723937597047897,-1.6810255132737124,0.34347222747574147,-0.9712360795125154
37081012612,"Census Tract 126.12, Guilford County, North Carolina",37081,Guilford,Guilford County,173,1383,1518,1502,800,1638,0.03,0.2,0.59,0.12,0.24,0.23,0.47,-0.36110339098432803,0.34418559308572655,0.9066260720507321,0.2827287728877005,0.1342775422293864,0.59843385727258,1.8117682827074506
37081014408,"Census Tract 144.08, Guilford County, North Carolina",37081,Guilford,Guilford County,76,627,562,399,446,884,0.05,0.27,0.49,0.19,0.38,0.25,0.56,0.45899173908354585,0.9776041627063022,1.26214982875486,0.8473631614679046,1.2894703957313585,1.3633187466630974,1.238796796368046
37071030203,"Census Tract 302.03, Gaston County, North Carolina",37071,Gaston,Gaston County,69,345,394,633,375,2274,0.04,0.15,0.66,0.16,0.96,0.17,0.36,0.048944174049608914,-0.10825624235754192,-0.1599451980616522,-0.11251529911844281,0.7943877442305134,-0.3364254519824957,-1.1349422184666307
37071031900,"Census Tract 319, Gaston County, North Carolina",37071,Gaston,Gaston County,200,1049,370,394,411,631,0.1,0.44,0.4,0.17,0.26,0.16,0.35,2.5092295642532303,2.5159064032134144,-0.3377070764137164,1.3555341111900883,0.9594152947307952,-0.4214126619147754,1.7299152132303928
37085070902,"Census Tract 709.02, Harnett County, North Carolina",37085,Harnett,Harnett County,144,313,718,654,562,2439,0.06,0.11,0.6,0.19,0.82,0.25,0.47,0.8690393041174824,-0.4702097107121565,1.26214982875486,0.22626533402968002,1.2894703957313585,0.59843385727258,-0.5619707321272259
37087920102,"Census Tract 9201.02, Haywood County, North Carolina",37087,Haywood,Haywood County,59,338,417,592,333,3611,0.02,0.09,0.38,0.09,1,0.12,0.38,-0.7711509560182648,-0.6511864448894639,-1.0487545898219728,1.468460988906129,-0.36080510927145876,-0.16645103211793627,-1.2986483574207466
37155960900,"Census Tract 9609, Robeson County, North Carolina",37155,Robeson,Robeson County,42,408,337,534,281,1292,0.02,0.19,0.65,0.13,0.61,0.17,0.46,-0.7711509560182648,0.2536972259970728,-0.1599451980616522,-0.05605186026042234,0.29930509272966827,0.5134466473403009,0.297486497381881
37157040300,"Census Tract 403, Rockingham County, North Carolina",37157,Rockingham,Rockingham County,72,581,590,1059,328,2704,0.02,0.17,0.63,0.1,0.77,0.17,0.42,-0.7711509560182648,0.07272049181976556,-0.1599451980616522,0.056875017455618605,-0.1957775587711769,0.17349780761118205,-0.35733805843458166
37159051202,"Census Tract 512.02, Rowan County, North Carolina",37159,Rowan,Rowan County,119,683,706,911,480,2722,0.04,0.19,0.68,0.14,0.77,0.21,0.45,0.048944174049608914,0.2536972259970728,0.5511023153466037,-0.22544217683448375,0.4643326432299501,0.4284594374080211,-0.35733805843458166
37049960403,"Census Tract 9604.03, Craven County, North Carolina",37049,Craven,Craven County,26,52,685,1404,236,3914,0.01,0.01,0.83,0.06,0.96,0.17,0.53,-1.1811985210522016,-1.375093381598693,-0.1599451980616522,-1.0723937597047897,-0.8558877607723039,1.1083571168662583,-1.1349422184666307
37051000702,"Census Tract 7.02, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,48,189,480,668,188,1603,0.03,0.09,0.71,0.09,0.72,0.22,0.56,-0.36110339098432803,-0.6511864448894639,0.7288641936986678,-0.39483249340854454,-0.36080510927145876,1.3633187466630974,-0.15270538474193693
37051002100,"Census Tract 21, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,84,630,613,1069,474,2116,0.03,0.17,0.61,0.13,0.56,0.17,0.38,-0.36110339098432803,0.07272049181976556,-0.1599451980616522,0.16980189517165956,0.29930509272966827,-0.16645103211793627,0.5021191710745253
