tract_geoid,tract_name,county_geoid,county_name,county_full_name,school_total,school_age,acs_pov_score
37179020313,"Census Tract 203.13, Union County, North Carolina",37179,Union,Union County,452,0.2,0.37334043699453995
37179020501,"Census Tract 205.01, Union County, North Carolina",37179,Union,Union County,1213,0.22,0.7288641936986678
37181960500,"Census Tract 9605, Vance County, North Carolina",37181,Vance,Vance County,644,0.15,-0.5154689547657806
37133000403,"Census Tract 4.03, Onslow County, North Carolina",37133,Onslow,Onslow County,71,0.05,-2.293087738286421
37133000800,"Census Tract 8, Onslow County, North Carolina",37133,Onslow,Onslow County,33,0.03,-2.6486114949905493
37133002500,"Census Tract 25, Onslow County, North Carolina",37133,Onslow,Onslow County,591,0.19,0.19557855864247572
37133990100,"Census Tract 9901, Onslow County, North Carolina",37133,Onslow,Onslow County,0,0,-3.181897130046741
37135011601,"Census Tract 116.01, Orange County, North Carolina",37135,Orange,Orange County,0,0,-3.181897130046741
37139960200,"Census Tract 9602, Pasquotank County, North Carolina",37139,Pasquotank,Pasquotank County,595,0.14,-0.6932308331178443
37147000100,"Census Tract 1, Pitt County, North Carolina",37147,Pitt,Pitt County,340,0.06,-2.115325859934357
37149920200,"Census Tract 9202, Polk County, North Carolina",37149,Polk,Polk County,999,0.21,0.5511023153466037
37129010100,"Census Tract 101, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,439,0.2,0.37334043699453995
37129011606,"Census Tract 116.06, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,668,0.14,-0.6932308331178443
37119005843,"Census Tract 58.43, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,655,0.21,0.5511023153466037
37119005915,"Census Tract 59.15, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,201,0.09,-1.5820402248781649
37119006203,"Census Tract 62.03, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,823,0.16,-0.3377070764137164
37087920900,"Census Tract 9209, Haywood County, North Carolina",37087,Haywood,Haywood County,232,0.13,-0.8709927114699085
37021003201,"Census Tract 32.01, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,242,0.14,-0.6932308331178443
37025040702,"Census Tract 407.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,1712,0.24,1.0843879504027958
37025040800,"Census Tract 408, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,760,0.21,0.5511023153466037
37025041901,"Census Tract 419.01, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,616,0.27,1.6176735854589883
37089931200,"Census Tract 9312, Henderson County, North Carolina",37089,Henderson,Henderson County,333,0.15,-0.5154689547657806
37097060601,"Census Tract 606.01, Iredell County, North Carolina",37097,Iredell,Iredell County,975,0.18,0.017816680290411512
37097061204,"Census Tract 612.04, Iredell County, North Carolina",37097,Iredell,Iredell County,684,0.19,0.19557855864247572
37081015703,"Census Tract 157.03, Guilford County, North Carolina",37081,Guilford,Guilford County,609,0.11,-1.2265164681740368
37081016305,"Census Tract 163.05, Guilford County, North Carolina",37081,Guilford,Guilford County,605,0.18,0.017816680290411512
