name,namelsad,geoid,county_crf_total,hospital_crf_total,hhs_uninsured_total,rhc_testing_total,prov_relief_total,hhs_awards_total,county_crf_per_capita,hospital_crf_per_capita,hhs_uninsured_per_capita,rhc_testing_per_capita,prov_relief_per_capita,hhs_awards_per_capita,county_crf_score,hospital_crf_score,hhs_uninsured_score,rhc_testing_score,prov_relief_score,hhs_awards_score
"McDowell County, North Carolina",McDowell County,37111,1882495,688633,133946,0,1601049,158185,41.73213771087809,15.265977964486023,2.9693852667982,0,35.49289498769647,3.506728147376355,1,1,1,0,0,0
"Mecklenburg County, North Carolina",Mecklenburg County,37119,193748563.5,3854780,4979105,49461,46261592,121755040,183.76741985784122,3.656197299855641,4.722601615837407,0.04691296900164467,43.878381582716344,115.48271198144006,1,0,1,0,1,1
"Mitchell County, North Carolina",Mitchell County,37121,783890,629381,351882,49461,1532473,1063501,52.120345744680854,41.84714095744681,23.396409574468084,3.288630319148936,101.89315159574468,70.71150265957446,1,1,1,1,1,1
"Montgomery County, North Carolina",Montgomery County,37123,1219486,427387,8204,49461,924646,0,44.60772551027873,15.633440632087204,0.30009510571365866,1.8092398858731435,33.822737581388544,0,1,1,0,1,0,0
"Northampton County, North Carolina",Northampton County,37131,945120,0,0,0,173889,2631973,46.820568710987814,0,0,0,8.6143366689785,130.38605964529873,1,0,0,0,0,1
"Pamlico County, North Carolina",Pamlico County,37137,704042,0,4683,0,91870,0,55.25364934861089,0,0.3675247213938157,0,7.210014126510752,0,1,0,0,0,0,0
"Pasquotank County, North Carolina",Pasquotank County,37139,1670852,881963,264801,0,4332202,0,42.322551229767726,22.34005420603359,6.707388738316573,0,109.73433977557688,0,1,1,1,0,1,0
"Pender County, North Carolina",Pender County,37141,2499872,519450,296395,0,2426358,389727,42.35635377838021,8.801253812267028,5.021941714672992,0,41.11077600813284,6.60330396475771,1,0,1,0,1,0
"Perquimans County, North Carolina",Perquimans County,37143,730337,0,0,0,404324,0,54.263838323798204,0,0,0,30.041162047700425,0,1,0,0,0,0,0
"Person County, North Carolina",Person County,37145,1658935,484516,13338,0,706713,987238,42.20671670270958,12.32708306831192,0.3393461391680448,0,17.980231522707033,25.117364203027606,1,1,0,0,0,1
"Polk County, North Carolina",Polk County,37149,989397,621186,44779,49461,1554570,70305,48.362352136083686,30.363965196988953,2.188825887183498,2.417685013197771,75.98836640922866,3.436552937726073,1,1,0,1,1,0
"Scotland County, North Carolina",Scotland County,37165,1492425,1131966,131090,346230,1642875,0,42.323889739663095,32.101582440020415,3.7175996823776303,9.8187850944359365,46.59052237536158,0,1,1,1,1,1,0
"Swain County, North Carolina",Swain County,37173,759165,1152242,4200,0,1632400,6713862,53.2597867265329,80.83639680089799,0.294654132173425,0,114.52223937140452,471.01599551003227,1,1,0,0,1,1
