name,namelsad,geoid,zhvi_pct_change,unemp_change,tax_sales_change,tax_distribution_change,cases_per,ui_claims_per,zhvi_score,unemp_score,tax_sales_score,tax_distribution_score,cases_per_score,ui_claims_score
Mecklenburg,Mecklenburg County,37119,0.09526894776903838,3.4000000000000004,-0.031907391294286484,-0.037665169539854264,367,19.772098255358458,2.2138399319701243,1.4020277522866011,1.468447701809266,2.043365190226392,0.39358094051461967,1.67408628283164
Wake,Wake County,37183,0.052467030468394724,2.3,-0.005791600566705596,0.0017770429821240383,238,13.972469753229158,0.45791628038151005,0.15829345590332555,1.1015713533949782,1.2088591051535615,-0.9738292756552146,0.3619977662811621
Guilford,Guilford County,37081,0.09555110065923898,3.5999999999999996,-0.053031285078081435,-0.04646425763230643,285,19.196611037048637,2.225415089451676,1.628161260719923,1.7651975531360093,2.22953356382236,-0.47562555348480984,1.5438899831395707
Forsyth,Forsyth County,37067,0.09270960749890672,2.9,0.01972085054343205,0.06284906201975514,316,16.965710640977683,2.108844492601809,0.8366939812032937,0.7431707596691165,-0.08328370976048001,-0.147023098436245,1.0391785537475107
Cumberland,Cumberland County,37051,0.0809042133638436,3.7,0.027163723747582986,0.031776631177930746,264,19.999638669581397,1.624535095140048,1.741228014936585,0.6386127866277089,0.5741371334809623,-0.6982272165822248,1.7255642636097963
Durham,Durham County,37063,0.05756382498301236,2.6,-0.03438248478796683,-0.07309317622580183,334,15.26804739327214,0.6670092977022466,0.4974937185533099,1.5032179782453694,2.792939954698588,0.04377832707582488,0.6551049098121404
Buncombe,Buncombe County,37021,0.05719296222299862,3.5,-0.07092161974256074,1.1241617525575356e-4,198,11.089541564167655,0.6517948696375542,1.515094506503262,2.016522152956836,1.244078762238794,-1.3978324434598144,-0.29022624591521945
Gaston,Gaston County,37071,0.08325206034163174,3.3,0.07293567374430528,0.06725984366557053,425,18.04834129787381,1.7208541457482565,1.288960998069939,-0.004394581970330114,-0.1766056582011117,1.0083855338312893,1.284109285441339
New Hanover,New Hanover County,37129,0.05904419215418657,2.4999999999999996,-0.05893783976983172,-0.04341889405556131,279,12.326573934915332,0.7277404960418367,0.38442696433664797,1.8481732225163772,2.165100706901952,-0.5392260286554998,-0.010364187912136943
Union,Union County,37179,0.07430046851716778,1.8000000000000003,0.11605880444656574,0.08205545078284951,302,11.283933408030208,1.3536203208348296,-0.40704031517998074,-0.6101911626393955,-0.48964651930483616,-0.29542420716785495,-0.246247686607587
Cabarrus,Cabarrus County,37025,0.08977169750650414,2.5,-0.004478586497545508,-0.02783386737767136,294,14.519876097057304,1.98831845154475,0.38442696433664847,1.0831260452618685,1.8353575518628076,-0.3802248407287749,0.48584114303539633
Onslow,Onslow County,37133,0.037164535174368935,1.6000000000000005,0.029326805768701423,0.0555350572923095,240,9.091752960105614,-0.16985964905563397,-0.6331738236133032,0.6082256679106629,0.071463731141922393,-0.9526291172649846,-0.7421992446896802
Johnston,Johnston County,37101,0.06596325794200616,2,0.051561598729886075,0.06130697131296574,340,10.127006046910635,1.0115911277411633,-0.18090680674665832,0.2958698317639102,-0.05065663343120642,0.10737880224651485,-0.507987055681092
Pitt,Pitt County,37147,0.06398269507179553,2.2,0.03817353882762181,0.007569792331865059,412,18.36253749182509,0.9303396930721659,0.04522670168666458,0.48394617915580246,1.0862979131573753,0.8705845042947944,1.3551919794235454
Davidson,Davidson County,37057,0.0696131442154481,2.4,0.08278723013435485,0.06981798146923307,291,12.625710537822476,1.161325579778174,0.271360210119987,-0.14278989506961018,-0.23072994350639667,-0.4120250783141199,0.0573114746600919
Iredell,Iredell County,37097,0.08393473320989732,2.5,0.08096662456103251,0.0822408500258705,278,12.450369511664976,1.7488604013387588,0.38442696433664847,-0.1172139080504696,-0.4935691389191061,-0.5498261078506148,0.017642908506765486
Catawba,Catawba County,37035,0.07996065123372352,2.9000000000000004,0.0023921532414230406,0.022868226259206648,392,14.955751647748661,1.5858260099982882,0.8366939812032943,0.9866054408263462,0.7626183985424874,0.6585829203924946,0.5844521669134383
Alamance,Alamance County,37001,0.05784070592306361,2.6,0.009990525743159912,0.023242768695809213,390,15.394579513750498,0.6783681765088923,0.4974937185533099,0.8798630034095571,0.7546939459705461,0.6373827620022645,0.6837311127134956
Randolph,Randolph County,37151,0.07959199799818256,2.5000000000000004,0.05601981325569745,0.06307222805778201,348,11.024216902866577,1.5707022263842467,0.38442696433664897,0.23324054043826628,-0.08800538749626229,0.1921794358074348,-0.3050050783713372
Rowan,Rowan County,37159,0.06918463426238951,2.6999999999999997,0.05647628852747232,0.07047341302674885,368,11.353461552236668,1.1437462092973707,0.6105604727699708,0.2268279457518906,-0.24459736087784612,0.4041810197097347,-0.2305178722657083
Robeson,Robeson County,37155,0.04068578882018738,3.3000000000000007,0.020648186125206955,0.01608752395535868,539,23.223572788177634,-0.025402275417321304,1.2889609980699401,0.7301434883318212,0.9060823923657394,2.2167945620743987,2.4549363145217398
Orange,Orange County,37135,0.03185099735977532,1.5000000000000004,-0.00500365845817134,-0.1455297814518665,249,8.479200772362843,-0.3878444336324477,-0.7462405778299647,1.090502290751755,4.3255311552932705,-0.8572284045089497,-0.8807809988537756
Wayne,Wayne County,37191,0.06433289202162674,2.1000000000000005,0.03701953589091239,0.04338494974324334,444,12.749794358155514,0.9447063183474679,-0.06784005252999638,0.5001576884260229,0.32853193385329726,1.2097870385384741,0.08538378234133684
