tract_geoid,tract_name,county_geoid,county_name,county_full_name,acs_unemp_total,acs_unemp_rate,acs_unemp_score
37179020313,"Census Tract 203.13, Union County, North Carolina",37179,Union,Union County,57,0.03,-0.36110339098432803
37179020501,"Census Tract 205.01, Union County, North Carolina",37179,Union,Union County,240,0.06,0.8690393041174824
37181960500,"Census Tract 9605, Vance County, North Carolina",37181,Vance,Vance County,143,0.04,0.048944174049608914
37133000403,"Census Tract 4.03, Onslow County, North Carolina",37133,Onslow,Onslow County,37,0.03,-0.36110339098432803
37133000800,"Census Tract 8, Onslow County, North Carolina",37133,Onslow,Onslow County,188,0.18,5.789610084524724
37133002500,"Census Tract 25, Onslow County, North Carolina",37133,Onslow,Onslow County,263,0.1,2.5092295642532303
37133990100,"Census Tract 9901, Onslow County, North Carolina",37133,Onslow,Onslow County,0,0,-1.5912460860861384
37135011601,"Census Tract 116.01, Orange County, North Carolina",37135,Orange,Orange County,48,0.02,-0.7711509560182648
37139960200,"Census Tract 9602, Pasquotank County, North Carolina",37139,Pasquotank,Pasquotank County,227,0.06,0.8690393041174824
37147000100,"Census Tract 1, Pitt County, North Carolina",37147,Pitt,Pitt County,282,0.05,0.45899173908354585
37149920200,"Census Tract 9202, Polk County, North Carolina",37149,Polk,Polk County,120,0.03,-0.36110339098432803
37129010100,"Census Tract 101, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,113,0.07,1.2790868691514197
37129011606,"Census Tract 116.06, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,53,0.01,-1.1811985210522016
37119005843,"Census Tract 58.43, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,85,0.03,-0.36110339098432803
37119005915,"Census Tract 59.15, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,127,0.06,0.8690393041174824
37119006203,"Census Tract 62.03, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,133,0.03,-0.36110339098432803
37087920900,"Census Tract 9209, Haywood County, North Carolina",37087,Haywood,Haywood County,59,0.04,0.048944174049608914
37021003201,"Census Tract 32.01, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,31,0.02,-0.7711509560182648
37025040702,"Census Tract 407.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,323,0.06,0.8690393041174824
