tract_geoid,tract_name,county_geoid,county_name,county_full_name,white_alone_total,white_alone_pct,white_alone_score
37129012010,"Census Tract 120.10, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,4788,0.89,-0.8484564752969286
37179020313,"Census Tract 203.13, Union County, North Carolina",37179,Union,Union County,2130,0.91,-0.9303095447739864
37179020501,"Census Tract 205.01, Union County, North Carolina",37179,Union,Union County,3517,0.62,0.25655996264335207
37181960500,"Census Tract 9605, Vance County, North Carolina",37181,Vance,Vance County,927,0.2,1.9754744216615663
37133000403,"Census Tract 4.03, Onslow County, North Carolina",37133,Onslow,Onslow County,1362,0.96,-1.1349422184666307
37133000800,"Census Tract 8, Onslow County, North Carolina",37133,Onslow,Onslow County,1389,0.88,-0.8075299405583997
37133002500,"Census Tract 25, Onslow County, North Carolina",37133,Onslow,Onslow County,2809,0.83,-0.6028972668657548
37133990100,"Census Tract 9901, Onslow County, North Carolina",37133,Onslow,Onslow County,0,0,2.794005116432144
37135011601,"Census Tract 116.01, Orange County, North Carolina",37135,Orange,Orange County,1805,0.78,-0.39826459317311064
37139960200,"Census Tract 9602, Pasquotank County, North Carolina",37139,Pasquotank,Pasquotank County,2079,0.46,0.9113845184598145
37147000100,"Census Tract 1, Pitt County, North Carolina",37147,Pitt,Pitt County,4266,0.69,-0.029925780526350098
37149920200,"Census Tract 9202, Polk County, North Carolina",37149,Polk,Polk County,4281,0.87,-0.7666034058198706
37129010100,"Census Tract 101, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,943,0.42,1.0750906574139303
37129011606,"Census Tract 116.06, New Hanover County, North Carolina",37129,New Hanover,New Hanover County,4278,0.84,-0.6438238016042839
37119005843,"Census Tract 58.43, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,2346,0.73,-0.19363191948046587
37119005915,"Census Tract 59.15, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,855,0.38,1.238796796368046
37119006203,"Census Tract 62.03, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,4433,0.88,-0.8075299405583997
37087920900,"Census Tract 9209, Haywood County, North Carolina",37087,Haywood,Haywood County,1612,0.87,-0.7666034058198706
37021003201,"Census Tract 32.01, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,1784,0.99,-1.2577218226822175
37025040702,"Census Tract 407.02, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,4057,0.55,0.5430457058130542
37025040800,"Census Tract 408, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,2349,0.61,0.297486497381881
37025041901,"Census Tract 419.01, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,1083,0.46,0.9113845184598145
37089931200,"Census Tract 9312, Henderson County, North Carolina",37089,Henderson,Henderson County,2029,0.86,-0.7256768710813417
37097060601,"Census Tract 606.01, Iredell County, North Carolina",37097,Iredell,Iredell County,3028,0.56,0.5021191710745253
37097061204,"Census Tract 612.04, Iredell County, North Carolina",37097,Iredell,Iredell County,3489,0.96,-1.1349422184666307
37081015703,"Census Tract 157.03, Guilford County, North Carolina",37081,Guilford,Guilford County,3850,0.68,0.011000754212178393
37081016305,"Census Tract 163.05, Guilford County, North Carolina",37081,Guilford,Guilford County,2221,0.66,0.09285382368923628
37083930200,"Census Tract 9302, Halifax County, North Carolina",37083,Halifax,Halifax County,3682,0.73,-0.19363191948046587
37119001505,"Census Tract 15.05, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1339,0.39,1.197870261629517
37119001702,"Census Tract 17.02, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,2750,0.46,0.9113845184598145
37119980300,"Census Tract 9803, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,26,1,-1.2986483574207466
37125950900,"Census Tract 9509, Moore County, North Carolina",37125,Moore,Moore County,2121,0.85,-0.6847503363428128
37119001923,"Census Tract 19.23, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,895,0.2,1.9754744216615663
37119003017,"Census Tract 30.17, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,3311,0.88,-0.8075299405583997
37119003109,"Census Tract 31.09, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1965,0.45,0.9523110531983434
37191000500,"Census Tract 5, Wayne County, North Carolina",37191,Wayne,Wayne County,1991,0.66,0.09285382368923628
37191001900,"Census Tract 19, Wayne County, North Carolina",37191,Wayne,Wayne County,1399,0.3,1.566209074276277
37195000100,"Census Tract 1, Wilson County, North Carolina",37195,Wilson,Wilson County,952,0.26,1.7299152132303928
37195001400,"Census Tract 14, Wilson County, North Carolina",37195,Wilson,Wilson County,6103,0.65,0.13378035842776523
37199960400,"Census Tract 9604, Yancey County, North Carolina",37199,Yancey,Yancey County,4149,0.98,-1.2167952879436885
37183053509,"Census Tract 535.09, Wake County, North Carolina",37183,Wake,Wake County,4695,0.88,-0.8075299405583997
37183053718,"Census Tract 537.18, Wake County, North Carolina",37183,Wake,Wake County,2781,0.8,-0.4801176626501685
37183054001,"Census Tract 540.01, Wake County, North Carolina",37183,Wake,Wake County,3533,0.74,-0.23455845421899482
37019020511,"Census Tract 205.11, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,2362,0.97,-1.1758687532051597
37021001000,"Census Tract 10, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,3820,0.83,-0.6028972668657548
37101040700,"Census Tract 407, Johnston County, North Carolina",37101,Johnston,Johnston County,2469,0.62,0.25655996264335207
37105030300,"Census Tract 303, Lee County, North Carolina",37105,Lee,Lee County,947,0.33,1.4434294700606904
37107010400,"Census Tract 104, Lenoir County, North Carolina",37107,Lenoir,Lenoir County,33,0.04,2.6302989774780285
37109070201,"Census Tract 702.01, Lincoln County, North Carolina",37109,Lincoln,Lincoln County,3467,0.74,-0.23455845421899482
37183054018,"Census Tract 540.18, Wake County, North Carolina",37183,Wake,Wake County,837,0.25,1.7708417479689218
37185950400,"Census Tract 9504, Warren County, North Carolina",37185,Warren,Warren County,1251,0.34,1.4025029353221614
37189920500,"Census Tract 9205, Watauga County, North Carolina",37189,Watauga,Watauga County,6593,0.92,-0.9712360795125154
